	Genes	Metabolites	Reactions	Balanced
FNEB7-bin-1	365	921	758	1
FNEB7-bin-2	349	838	667	1
FNEB7-bin-3	539	1093	916	1
FNEB7-bin-4	566	1181	1043	1
