,FSW8-bin-1,FSW8-bin-2,FSW8-bin-3
FSW8-bin-1,1.0,0.731182795699,0.709677419355
FSW8-bin-2,0.708333333333,1.0,0.90625
FSW8-bin-3,0.653465346535,0.861386138614,1.0
