id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn01116_c0	<=>	c0	FNED7-bin-7.genome.CDS.432	D-Ribulose-5-phosphate 3-epimerase_c0	Unknown	Unknown	None	(1) cpd00171[c0] <=> (1) cpd00198[c0]
rxn02182_c0	<=>	c0	(FNED7-bin-7.genome.CDS.352) or (FNED7-bin-7.genome.CDS.546)	beta-alanyl-CoA ammonia-lyase (acryloyl-CoA-forming)_c0	Unknown	Unknown	None	(1) cpd01560[c0] <=> (1) cpd00013[c0] + (1) cpd00663[c0]
rxn00863_c0	=>	c0	(FNED7-bin-7.genome.CDS.498) or (FNED7-bin-7.genome.CDS.498)	L-histidinal:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd01324[c0] => (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd00119[c0]
rxn00986_c0	<=	c0	(FNED7-bin-7.genome.CDS.663) or (FNED7-bin-7.genome.CDS.418) or (FNED7-bin-7.genome.CDS.846)	ATP:propanoate adenylyltransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00141[c0] <= (1) cpd00012[c0] + (1) cpd03560[c0]
rxn10215_c0	=>	c0	FNED7-bin-7.genome.CDS.809	anteisoheptadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd11434[c0] + (1) cpd15672[c0] => (1) cpd00010[c0] + (1) cpd00067[c0] + (1) cpd15678[c0]
rxn12845_c0	<=>	c0	((FNED7-bin-7.genome.CDS.576) or (FNED7-bin-7.genome.CDS.575)) or (FNED7-bin-7.genome.CDS.422)	Gly-Leu aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd15604[c0] <=> (1) cpd00033[c0] + (1) cpd00107[c0]
rxn05380_c0	<=>	c0	(FNED7-bin-7.genome.CDS.744) or (FNED7-bin-7.genome.CDS.672) or (FNED7-bin-7.genome.CDS.558)	14-methyl-3-oxo-hexa-decanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00005[c0] + (1) cpd00067[c0] + (1) cpd11516[c0] <=> (1) cpd00006[c0] + (1) cpd11517[c0]
rxn06077_c0	<=>	c0	FNED7-bin-7.genome.CDS.538	L-methionine:oxidized-thioredoxin S-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00060[c0] + (1) cpd11420[c0] <=> (1) cpd01914[c0] + (1) cpd11421[c0]
rxn00145_c0	<=>	c0	FNED7-bin-7.genome.CDS.671	(S)-Lactate:ferricytochrome-c 2-oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00109[c0] + (1) cpd00159[c0] <=> (1) cpd00020[c0] + (2) cpd00067[c0] + (2) cpd00110[c0]
rxn01870_c0	<=>	c0	FNED7-bin-7.genome.CDS.661	D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd00802[c0] <=> (1) cpd00095[c0] + (1) cpd00448[c0]
