id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn05457_c0	<=>	c0	(FNEF8-bin_7.genome.CDS.972) or (FNEF8-bin_7.genome.CDS.3023)	[Acyl-carrier-protein] acetyltransferase_c0	Unknown	Unknown	None	(1) cpd00010[c0] + (1) cpd11466[c0] <=> (1) cpd01695[c0] + (1) cpd11493[c0]
rxn04271_c0	<=>	c0	FNEF8-bin_7.genome.CDS.4045	trans-2-Methyl-5-isopropylhexa-2,5-dienal dehydrogenase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00003[c0] + (1) cpd08739[c0] <=> (1) cpd00004[c0] + (2) cpd00067[c0] + (1) cpd08740[c0]
rxn13783_c0	=>	c0	() and () and (FNEF8-bin_7.genome.CDS.4042) and (FNEF8-bin_7.genome.CDS.2885) and () and () and (FNEF8-bin_7.genome.CDS.3156) and () and (FNEF8-bin_7.genome.CDS.3622) and () and (FNEF8-bin_7.genome.CDS.2510) and (FNEF8-bin_7.genome.CDS.2215) and (FNEF8-bin_7.genome.CDS.2219) and ((FNEF8-bin_7.genome.CDS.3277) or (FNEF8-bin_7.genome.CDS.2563)) and (FNEF8-bin_7.genome.CDS.3157) and () and ((FNEF8-bin_7.genome.CDS.2086) or (FNEF8-bin_7.genome.CDS.2511)) and () and (FNEF8-bin_7.genome.CDS.2218) and ((FNEF8-bin_7.genome.CDS.4024) or (FNEF8-bin_7.genome.CDS.3893)) and () and ((FNEF8-bin_7.genome.CDS.1357) or (FNEF8-bin_7.genome.CDS.3408)) and ((FNEF8-bin_7.genome.CDS.3017) or (FNEF8-bin_7.genome.CDS.3612))	DNA replication_c0	Unknown	Unknown	None	 => (1) cpd17042[c0]
rxn10118_c0	=>	c0	() and ((FNEF8-bin_7.genome.CDS.2488) or (FNEF8-bin_7.genome.CDS.2980)) and () and () and () and () and () and () and () and ()	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0	Unknown	Unknown	None	(2) cpd00067[c0] + (1) cpd11640[c0] + (1) cpd15560[c0] => (2) cpd00067[e0] + (1) cpd15561[c0]
rxn05392_c0	=>	c0	() and (FNEF8-bin_7.genome.CDS.3025)	7-methyl-octanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11492[c0] + (1) cpd11528[c0] => (1) cpd00011[c0] + (1) cpd11493[c0] + (1) cpd11529[c0]
rxn12008_c0	<=	c0	(FNEF8-bin_7.genome.CDS.3673) or (FNEF8-bin_7.genome.CDS.3514)	R05611_c0	Unknown	Unknown	None	(1) cpd00012[c0] + (1) cpd00067[c0] + (1) cpd02557[c0] <= (1) cpd00113[c0] + (1) cpd02590[c0]
rxn00199_c0	=>	c0	FNEF8-bin_7.genome.CDS.3355	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd03187[c0] => (1) cpd00011[c0] + (1) cpd00024[c0]
rxn01358_c0	<=>	c0	FNEF8-bin_7.genome.CDS.2696	inosine:phosphate alpha-D-ribosyltransferase_c0	Unknown	Unknown	None	(1) cpd00009[c0] + (1) cpd00246[c0] <=> (1) cpd00226[c0] + (1) cpd00475[c0]
rxn12637_c0	<=>	c0	(FNEF8-bin_7.genome.CDS.2531) or ((FNEF8-bin_7.genome.CDS.2295) or (FNEF8-bin_7.genome.CDS.3663)) or ((FNEF8-bin_7.genome.CDS.3712) or (FNEF8-bin_7.genome.CDS.3928))	RXN0-6987.c_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11589[c0] <=> (1) cpd00033[c0] + (1) cpd00041[c0]
rxn03046_c0	<=>	c0	(FNEF8-bin_7.genome.CDS.2635) or (FNEF8-bin_7.genome.CDS.2500)	ATP:guanidinoethyyl-methyl-phosphate phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02519[c0] <=> (1) cpd00008[c0] + (1) cpd00067[c0] + (1) cpd02744[c0]
