	Genes	Metabolites	Reactions	Balanced
FNEB6-bin-1	378	928	767	1
FNEB6-bin-10	975	1503	1376	1
FNEB6-bin-2	424	1047	893	1
FNEB6-bin-3	345	817	631	1
FNEB6-bin-4	565	1181	1043	1
FNEB6-bin-6	666	1209	1097	1
