,acIB2-FNE-F8,acIII-FNE-F8,bacIII-FNE-F8,PnecC-FNE-F8
acIB2-FNE-F8,1.0,0.652482269504,0.567375886525,0.375886524823
acIII-FNE-F8,0.657142857143,1.0,0.578571428571,0.5
bacIII-FNE-F8,0.683760683761,0.688034188034,1.0,0.504273504274
PnecC-FNE-F8,0.546391752577,0.721649484536,0.60824742268,1.0
