,FNEB6-bin-1,FNEB6-bin-2,FNEB6-bin-3,FNEB6-bin-4,FNEB6-bin-6,FNEB6-bin-10,FNEB7-bin-1,FNEB7-bin-2,FNEB7-bin-3,FNEB7-bin-4,FNED7-bin-1,FNED7-bin-2,FNED7-bin-3,FNED7-bin-5,FNED7-bin-6,FNED7-bin-7,FNED7-bin-9,FNEF8-bin_6_1,FNEF8-bin_7,FNEF8-bin_25_2,FNEF8-bin_29_2,FSW8-bin-1,FSW8-bin-2,FSW8-bin-3,TBE6-bin-01,TBE6-bin-02,TBE6-bin-03,TBE6-bin-05,TBE6-bin-10
FNEB6-bin-1,0.0,0.166666666667,0.0294117647059,0.235294117647,0.294117647059,0.392156862745,0.0,0.0,0.294117647059,0.235294117647,0.0490196078431,0.0588235294118,0.235294117647,0.0196078431373,0.0588235294118,0.0196078431373,0.0588235294118,0.343137254902,0.0196078431373,0.28431372549,0.225490196078,0.205882352941,0.00980392156863,0.0196078431373,0.0490196078431,0.107843137255,0.205882352941,0.00980392156863,0.343137254902
FNEB6-bin-2,0.0333333333333,0.0,0.0333333333333,0.111111111111,0.244444444444,0.266666666667,0.0333333333333,0.0333333333333,0.177777777778,0.111111111111,0.0333333333333,0.0444444444444,0.111111111111,0.0444444444444,0.0333333333333,0.0111111111111,0.0333333333333,0.244444444444,0.0444444444444,0.255555555556,0.1,0.166666666667,0.0333333333333,0.0333333333333,0.0555555555556,0.0888888888889,0.177777777778,0.0333333333333,0.255555555556
FNEB6-bin-3,0.0681818181818,0.215909090909,0.0,0.272727272727,0.306818181818,0.397727272727,0.0681818181818,0.0227272727273,0.306818181818,0.272727272727,0.0795454545455,0.0568181818182,0.272727272727,0.0227272727273,0.0340909090909,0.0227272727273,0.0568181818182,0.386363636364,0.0681818181818,0.329545454545,0.272727272727,0.272727272727,0.0795454545455,0.0340909090909,0.0681818181818,0.0795454545455,0.25,0.0681818181818,0.397727272727
FNEB6-bin-4,0.020618556701,0.020618556701,0.020618556701,0.0,0.123711340206,0.175257731959,0.020618556701,0.0103092783505,0.113402061856,0.0,0.0309278350515,0.020618556701,0.0,0.0103092783505,0.0309278350515,0.020618556701,0.0309278350515,0.123711340206,0.0309278350515,0.134020618557,0.0,0.0927835051546,0.0103092783505,0.020618556701,0.020618556701,0.0412371134021,0.103092783505,0.0309278350515,0.123711340206
FNEB6-bin-6,0.0106382978723,0.0957446808511,0.0106382978723,0.106382978723,0.0,0.170212765957,0.0106382978723,0.0,0.0957446808511,0.106382978723,0.031914893617,0.031914893617,0.106382978723,0.0,0.0212765957447,0.0212765957447,0.0212765957447,0.117021276596,0.0212765957447,0.0212765957447,0.106382978723,0.0212765957447,0.0106382978723,0.0212765957447,0.0212765957447,0.031914893617,0.0212765957447,0.0212765957447,0.117021276596
FNEB6-bin-10,0.0660377358491,0.0660377358491,0.0283018867925,0.0754716981132,0.103773584906,0.0,0.0660377358491,0.0377358490566,0.0471698113208,0.0754716981132,0.0566037735849,0.0566037735849,0.0754716981132,0.0377358490566,0.0566037735849,0.00943396226415,0.0471698113208,0.0377358490566,0.0660377358491,0.103773584906,0.0754716981132,0.0566037735849,0.0566037735849,0.0566037735849,0.0660377358491,0.0566037735849,0.0377358490566,0.0660377358491,0.0377358490566
FNEB7-bin-1,0.00970873786408,0.174757281553,0.0388349514563,0.242718446602,0.300970873786,0.398058252427,0.0,0.00970873786408,0.300970873786,0.242718446602,0.0582524271845,0.0679611650485,0.242718446602,0.0291262135922,0.0679611650485,0.0194174757282,0.0679611650485,0.349514563107,0.0194174757282,0.291262135922,0.233009708738,0.21359223301,0.0194174757282,0.0291262135922,0.0582524271845,0.116504854369,0.21359223301,0.0194174757282,0.349514563107
FNEB7-bin-2,0.0652173913043,0.228260869565,0.0326086956522,0.271739130435,0.304347826087,0.402173913043,0.0652173913043,0.0,0.326086956522,0.271739130435,0.0869565217391,0.0652173913043,0.271739130435,0.0434782608696,0.0652173913043,0.0326086956522,0.0652173913043,0.380434782609,0.0760869565217,0.336956521739,0.271739130435,0.271739130435,0.0760869565217,0.0652173913043,0.0760869565217,0.0978260869565,0.228260869565,0.0652173913043,0.391304347826
FNEB7-bin-3,0.27397260274,0.287671232877,0.191780821918,0.315068493151,0.301369863014,0.328767123288,0.27397260274,0.205479452055,0.0,0.315068493151,0.27397260274,0.287671232877,0.315068493151,0.0958904109589,0.205479452055,0.109589041096,0.232876712329,0.219178082192,0.27397260274,0.287671232877,0.315068493151,0.301369863014,0.246575342466,0.205479452055,0.287671232877,0.191780821918,0.178082191781,0.27397260274,0.260273972603
FNEB7-bin-4,0.020618556701,0.020618556701,0.020618556701,0.0,0.123711340206,0.175257731959,0.020618556701,0.0103092783505,0.113402061856,0.0,0.0309278350515,0.020618556701,0.0,0.0103092783505,0.0309278350515,0.020618556701,0.0309278350515,0.123711340206,0.0309278350515,0.134020618557,0.0,0.0927835051546,0.0103092783505,0.020618556701,0.020618556701,0.0412371134021,0.103092783505,0.0309278350515,0.123711340206
FNED7-bin-1,0.0217391304348,0.173913043478,0.0217391304348,0.25,0.271739130435,0.369565217391,0.0217391304348,0.0108695652174,0.326086956522,0.25,0.0,0.0217391304348,0.25,0.0217391304348,0.0326086956522,0.0,0.0217391304348,0.369565217391,0.0434782608696,0.29347826087,0.239130434783,0.239130434783,0.0217391304348,0.0217391304348,0.0217391304348,0.0652173913043,0.228260869565,0.0108695652174,0.380434782609
FNED7-bin-2,0.054347826087,0.195652173913,0.0434782608696,0.260869565217,0.315217391304,0.369565217391,0.054347826087,0.0326086956522,0.315217391304,0.260869565217,0.054347826087,0.0,0.260869565217,0.0434782608696,0.0434782608696,0.0108695652174,0.0652173913043,0.358695652174,0.0434782608696,0.326086956522,0.25,0.271739130435,0.054347826087,0.054347826087,0.054347826087,0.108695652174,0.228260869565,0.054347826087,0.369565217391
