	Genes	Metabolites	Reactions	Balanced
acIB2-FNE-F8	463	723	573	1
acIII-FNE-F8	583	970	862	1
bacIII-FNE-F8	587	948	888	1
PnecC-FNE-F8	543	942	872	1
