'ID 	Lineage 	Clade 	Tribe 	Color
acIB2-FNE-F8	acI	acI-B	acI-B2	b
acIII-FNE-F8	acIII	Unknown	Unknown	g
bacIII-FNE-F8	bacIII	Unknown	Unknown	r
PnecC-FNE-F8	betII	Pnec	PnecC	k
