,acIB2-FNE-F8,acIII-FNE-F8,bacIII-FNE-F8,PnecC-FNE-F8
acIB2-FNE-F8,0.0,0.248226950355,0.269503546099,0.304964539007
acIII-FNE-F8,0.0357142857143,0.0,0.121428571429,0.107142857143
bacIII-FNE-F8,0.0338983050847,0.135593220339,0.0,0.127118644068
PnecC-FNE-F8,0.0927835051546,0.113402061856,0.134020618557,0.0
