	Genes	Metabolites	Reactions	Balanced
TBE6-bin-01	374	934	764	1
TBE6-bin-02	478	951	806	1
TBE6-bin-03	379	835	657	1
TBE6-bin-05	388	927	779	1
TBE6-bin-10	592	1163	1007	1
