,TBE6-bin-01,TBE6-bin-02,TBE6-bin-03,TBE6-bin-05,TBE6-bin-10
TBE6-bin-01,1.0,0.520408163265,0.566326530612,0.887755102041,0.530612244898
TBE6-bin-02,0.565217391304,1.0,0.282608695652,0.565217391304,0.315217391304
TBE6-bin-03,0.7,0.325,1.0,0.675,0.7
TBE6-bin-05,0.90625,0.53125,0.557291666667,1.0,0.552083333333
TBE6-bin-10,0.604651162791,0.337209302326,0.651162790698,0.616279069767,1.0
