	Genes	Metabolites	Reactions	Balanced
FNED7-bin-1	372	920	786	1
FNED7-bin-2	377	954	786	1
FNED7-bin-3	566	1181	1043	1
FNED7-bin-5	356	743	546	1
FNED7-bin-6	322	848	677	1
FNED7-bin-7	108	487	276	1
FNED7-bin-9	372	868	705	1
