'ID,Lineage,Clade,Tribe,Color
acI-A1,acI,acI-A,acI-A1,b
acI-A5,acI,acI-A,acI-A5,b
acI-A6,acI,acI-A,acI-A6,b
acI-A7,acI,acI-A,acI-A7,b
acI-B1,acI,acI-B,acI-B1,g
acI-B2,acI,acI-B,acI-B2,g
acI-B4,acI,acI-B,acI-B4,g
Iluma-A2,acIV,acIV-A,Iluma-A2,c
Iluma-B1,acIV,acIV-B,Iluma-B1,c
Iluma-B2,acIV,acIV-B,Iluma-B2,c
Luna1-A2,Luna1,Luna1-A,Luna1-A2,0.75
Myco,acTH2,acTH2-A,Myco,0.25
