AAA028I14.genome.CDS.1260,group00884
AAA028I14.genome.CDS.806,group01522
AAA028I14.genome.CDS.807,group01004
AAA028I14.genome.CDS.1363,group00336
AAA028I14.genome.CDS.809,group02026
AAA028I14.genome.CDS.1361,group01668
AAA028I14.genome.CDS.1148,group00976
AAA028I14.genome.CDS.1367,group00317
AAA028I14.genome.CDS.1366,group00109
AAA028I14.genome.CDS.1365,group00772
AAA028I14.genome.CDS.1364,group00601
AAA028I14.genome.CDS.1578,group00518
AAA028I14.genome.CDS.1388,group00566
AAA028I14.genome.CDS.1470,group01412
AAA028I14.genome.CDS.836,group01198
AAA028I14.genome.CDS.1560,group00812
AAA028I14.genome.CDS.1144,group00138
AAA028I14.genome.CDS.1169,group13291
AAA028I14.genome.CDS.1201,group00853
AAA028I14.genome.CDS.1202,group00104
AAA028I14.genome.CDS.1203,group00106
AAA028I14.genome.CDS.192,group00318
AAA028I14.genome.CDS.1205,group00657
AAA028I14.genome.CDS.1206,group00136
AAA028I14.genome.CDS.1207,group00381
AAA028I14.genome.CDS.1161,group00720
AAA028I14.genome.CDS.1160,group00838
AAA028I14.genome.CDS.1163,group00584
AAA028I14.genome.CDS.1162,group00519
AAA028I14.genome.CDS.1165,group00479
AAA028I14.genome.CDS.1164,group00352
AAA028I14.genome.CDS.1167,group03958
AAA028I14.genome.CDS.1166,group01879
AAA028I14.genome.CDS.1011,group01118
AAA028I14.genome.CDS.654,group04591
AAA028I14.genome.CDS.1404,group02791
AAA028I14.genome.CDS.653,group13316
AAA028I14.genome.CDS.1280,group01030
AAA028I14.genome.CDS.1012,group02329
AAA028I14.genome.CDS.966,group01091
AAA028I14.genome.CDS.1015,group00112
AAA028I14.genome.CDS.1537,group01811
AAA028I14.genome.CDS.1014,group00524
AAA028I14.genome.CDS.964,group00417
AAA028I14.genome.CDS.1017,group00713
AAA028I14.genome.CDS.260,group13283
AAA028I14.genome.CDS.1284,group00999
AAA028I14.genome.CDS.1401,group00962
AAA028I14.genome.CDS.1285,group00703
AAA028I14.genome.CDS.899,group00794
AAA028I14.genome.CDS.898,group00247
AAA028I14.genome.CDS.961,group02795
AAA028I14.genome.CDS.893,group01096
AAA028I14.genome.CDS.892,group00514
AAA028I14.genome.CDS.891,group00197
AAA028I14.genome.CDS.890,group00664
AAA028I14.genome.CDS.897,group00371
AAA028I14.genome.CDS.896,group00213
AAA028I14.genome.CDS.895,group00330
AAA028I14.genome.CDS.894,group01068
AAA028I14.genome.CDS.1064,group13286
AAA028I14.genome.CDS.1065,group01148
AAA028I14.genome.CDS.1066,group00941
AAA028I14.genome.CDS.1067,group01117
AAA028I14.genome.CDS.1061,group13289
AAA028I14.genome.CDS.1535,group00111
AAA028I14.genome.CDS.1063,group13287
AAA028I14.genome.CDS.1179,group00297
AAA028I14.genome.CDS.1068,group00384
AAA028I14.genome.CDS.1069,group00454
AAA028I14.genome.CDS.983,group03745
AAA028I14.genome.CDS.1406,group01587
AAA028I14.genome.CDS.1010,group00181
AAA028I14.genome.CDS.1013,group00987
AAA028I14.genome.CDS.1405,group00847
AAA028I14.genome.CDS.1402,group00932
AAA028I14.genome.CDS.1403,group00847
AAA028I14.genome.CDS.1400,group00752
AAA028I14.genome.CDS.1016,group00661
AAA028I14.genome.CDS.1019,group00221
AAA028I14.genome.CDS.1018,group00153
AAA028I14.genome.CDS.1408,group04598
AAA028I14.genome.CDS.1409,group03745
AAA028I14.genome.CDS.1499,group02243
AAA028I14.genome.CDS.1498,group00714
AAA028I14.genome.CDS.1495,group04612
AAA028I14.genome.CDS.1494,group04611
AAA028I14.genome.CDS.1497,group00768
AAA028I14.genome.CDS.1496,group00962
AAA028I14.genome.CDS.1491,group04609
AAA028I14.genome.CDS.1490,group04608
AAA028I14.genome.CDS.1493,group04610
AAA028I14.genome.CDS.1492,group02853
AAA028I14.genome.CDS.1258,group00912
AAA028I14.genome.CDS.1442,group13313
AAA028I14.genome.CDS.923,group13320
AAA028I14.genome.CDS.922,group04596
AAA028I14.genome.CDS.1538,group00537
AAA028I14.genome.CDS.920,group02185
AAA028I14.genome.CDS.1248,group00555
AAA028I14.genome.CDS.1249,group00018
AAA028I14.genome.CDS.925,group13318
AAA028I14.genome.CDS.924,group13319
AAA028I14.genome.CDS.1532,group00258
AAA028I14.genome.CDS.1533,group00066
AAA028I14.genome.CDS.1530,group00065
AAA028I14.genome.CDS.1247,group01483
AAA028I14.genome.CDS.1536,group00067
AAA028I14.genome.CDS.1241,group00586
AAA028I14.genome.CDS.1534,group00147
AAA028I14.genome.CDS.1243,group00451
AAA028I14.genome.CDS.848,group00117
AAA028I14.genome.CDS.849,group00910
AAA028I14.genome.CDS.844,group00319
AAA028I14.genome.CDS.51,group01155
AAA028I14.genome.CDS.846,group00684
AAA028I14.genome.CDS.847,group00870
AAA028I14.genome.CDS.840,group00223
AAA028I14.genome.CDS.842,group01174
AAA028I14.genome.CDS.843,group01705
AAA028I14.genome.CDS.1028,group04952
AAA028I14.genome.CDS.1182,group00444
AAA028I14.genome.CDS.1125,group00364
AAA028I14.genome.CDS.1124,group00080
AAA028I14.genome.CDS.1088,group00088
AAA028I14.genome.CDS.1126,group02024
AAA028I14.genome.CDS.1121,group00379
AAA028I14.genome.CDS.1120,group01175
AAA028I14.genome.CDS.1123,group00291
AAA028I14.genome.CDS.1122,group00491
AAA028I14.genome.CDS.1082,group01005
AAA028I14.genome.CDS.1083,group00244
AAA028I14.genome.CDS.1080,group00172
AAA028I14.genome.CDS.1081,group00145
AAA028I14.genome.CDS.1129,group00824
AAA028I14.genome.CDS.1087,group00888
AAA028I14.genome.CDS.1084,group00708
AAA028I14.genome.CDS.1085,group00312
AAA028I14.genome.CDS.817,group00301
AAA028I14.genome.CDS.1189,group00977
AAA028I14.genome.CDS.816,group00051
AAA028I14.genome.CDS.1023,group00203
AAA028I14.genome.CDS.223,group00228
AAA028I14.genome.CDS.814,group02678
AAA028I14.genome.CDS.1239,group00421
AAA028I14.genome.CDS.1238,group00034
AAA028I14.genome.CDS.1332,group01090
AAA028I14.genome.CDS.1333,group00836
AAA028I14.genome.CDS.1334,group01009
AAA028I14.genome.CDS.1335,group00676
AAA028I14.genome.CDS.1336,group00913
AAA028I14.genome.CDS.999,group01223
AAA028I14.genome.CDS.1231,group01119
AAA028I14.genome.CDS.997,group00014
AAA028I14.genome.CDS.1233,group00695
AAA028I14.genome.CDS.995,group13275
AAA028I14.genome.CDS.1235,group00416
AAA028I14.genome.CDS.993,group00089
AAA028I14.genome.CDS.1237,group00803
AAA028I14.genome.CDS.1236,group01070
AAA028I14.genome.CDS.185,group03202
AAA028I14.genome.CDS.1371,group00192
AAA028I14.genome.CDS.1313,group03144
AAA028I14.genome.CDS.1444,group13310
AAA028I14.genome.CDS.660,group04960
AAA028I14.genome.CDS.1519,group00940
AAA028I14.genome.CDS.527,group01022
AAA028I14.genome.CDS.921,group04597
AAA028I14.genome.CDS.1194,group00309
AAA028I14.genome.CDS.1195,group00274
AAA028I14.genome.CDS.1196,group13292
AAA028I14.genome.CDS.1197,group00121
AAA028I14.genome.CDS.1059,group13284
AAA028I14.genome.CDS.1191,group00151
AAA028I14.genome.CDS.1192,group00208
AAA028I14.genome.CDS.795,group13270
AAA028I14.genome.CDS.1055,group01154
AAA028I14.genome.CDS.1054,group01177
AAA028I14.genome.CDS.1057,group04955
AAA028I14.genome.CDS.1056,group04954
AAA028I14.genome.CDS.1198,group00157
AAA028I14.genome.CDS.1199,group00158
AAA028I14.genome.CDS.1052,group01083
AAA028I14.genome.CDS.1345,group03842
AAA028I14.genome.CDS.1338,group01242
AAA028I14.genome.CDS.1228,group00353
AAA028I14.genome.CDS.1244,group01818
AAA028I14.genome.CDS.982,group04598
AAA028I14.genome.CDS.1245,group01484
AAA028I14.genome.CDS.985,group03144
AAA028I14.genome.CDS.793,group13272
AAA028I14.genome.CDS.1246,group01399
AAA028I14.genome.CDS.984,group03746
AAA028I14.genome.CDS.1576,group00162
AAA028I14.genome.CDS.1577,group00868
AAA028I14.genome.CDS.1574,group00313
AAA028I14.genome.CDS.1531,group00338
AAA028I14.genome.CDS.1572,group00314
AAA028I14.genome.CDS.1573,group00659
AAA028I14.genome.CDS.1570,group00377
AAA028I14.genome.CDS.1571,group00293
AAA028I14.genome.CDS.1477,group01188
AAA028I14.genome.CDS.1476,group03446
AAA028I14.genome.CDS.1475,group02476
AAA028I14.genome.CDS.1474,group02663
AAA028I14.genome.CDS.1471,group02259
AAA028I14.genome.CDS.1579,group00107
AAA028I14.genome.CDS.1288,group00963
AAA028I14.genome.CDS.1289,group00064
AAA028I14.genome.CDS.1242,group00970
AAA028I14.genome.CDS.969,group01545
AAA028I14.genome.CDS.968,group01621
AAA028I14.genome.CDS.967,group00490
AAA028I14.genome.CDS.1281,group00370
AAA028I14.genome.CDS.965,group00739
AAA028I14.genome.CDS.1283,group00355
AAA028I14.genome.CDS.963,group13332
AAA028I14.genome.CDS.962,group13333
AAA028I14.genome.CDS.1286,group00677
AAA028I14.genome.CDS.960,group03327
AAA028I14.genome.CDS.1349,group03788
AAA028I14.genome.CDS.1227,group01341
