Seed Metabolite,Frequency
cpd11468_c,0.9803921568627451
cpd00434_c,0.9607843137254902
cpd15239_c,0.9411764705882353
cpd15277_c,0.9411764705882353
cpd15294_c,0.9411764705882353
cpd11825_c,0.9411764705882353
cpd15268_c,0.9411764705882353
cpd00322_e,0.9215686274509803
cpd00107_e,0.9215686274509803
cpd03052_c,0.9215686274509803
cpd00156_e,0.9215686274509803
cpd00810_c,0.8823529411764706
cpd01772_c,0.8431372549019608
cpd15606_e,0.8235294117647058
cpd11590_e,0.8235294117647058
cpd15604_e,0.8235294117647058
cpd11592_e,0.8235294117647058
cpd01017_e,0.8235294117647058
cpd11580_e,0.8235294117647058
cpd11583_e,0.8235294117647058
cpd11587_e,0.8235294117647058
cpd11581_e,0.8235294117647058
cpd11585_e,0.8235294117647058
cpd11589_e,0.8235294117647058
cpd11582_e,0.8235294117647058
cpd11586_e,0.8235294117647058
cpd11584_e,0.8235294117647058
cpd11588_e,0.8235294117647058
cpd15605_e,0.8235294117647058
cpd11591_e,0.8235294117647058
cpd15603_e,0.8235294117647058
cpd11593_e,0.8235294117647058
cpd04122_c,0.7843137254901961
cpd00507_c,0.7843137254901961
cpd00239_c,0.7647058823529411
cpd01775_c,0.7450980392156863
cpd03487_c,0.7450980392156863
cpd00956_c,0.7450980392156863
cpd00908_c,0.7254901960784313
cpd02090_c,0.7254901960784313
cpd00516_c,0.7254901960784313
cpd11470_c,0.7058823529411765
cpd11472_c,0.7058823529411765
cpd11474_c,0.7058823529411765
cpd15672_c,0.7058823529411765
cpd15330_c,0.7058823529411765
cpd15674_c,0.7058823529411765
cpd15676_c,0.7058823529411765
cpd11464_c,0.7058823529411765
cpd15671_c,0.7058823529411765
cpd15675_c,0.7058823529411765
cpd15673_c,0.7058823529411765
cpd02465_c,0.7058823529411765
cpd02843_c,0.7058823529411765
cpd00118_e,0.6862745098039216
cpd00268_c,0.6862745098039216
cpd00264_e,0.6862745098039216
cpd15331_c,0.6666666666666666
cpd15325_c,0.6666666666666666
cpd15328_c,0.6666666666666666
cpd15327_c,0.6666666666666666
cpd15329_c,0.6666666666666666
cpd15326_c,0.6666666666666666
cpd11539_c,0.6470588235294118
cpd11514_c,0.6470588235294118
cpd11518_c,0.6470588235294118
cpd00152_c,0.6470588235294118
cpd11535_c,0.6470588235294118
cpd11531_c,0.6470588235294118
cpd11506_c,0.6470588235294118
cpd11510_c,0.6470588235294118
cpd11543_c,0.6470588235294118
cpd11502_c,0.6470588235294118
cpd11568_c,0.6470588235294118
cpd11527_c,0.6470588235294118
cpd11560_c,0.6470588235294118
cpd11523_c,0.6470588235294118
cpd11564_c,0.6470588235294118
cpd11548_c,0.6470588235294118
cpd11498_c,0.6470588235294118
cpd11556_c,0.6470588235294118
cpd11572_c,0.6470588235294118
cpd11552_c,0.6470588235294118
cpd00478_c,0.6274509803921569
cpd00493_c,0.6274509803921569
cpd00858_c,0.6078431372549019
cpd00350_c,0.5882352941176471
cpd00080_e,0.5882352941176471
cpd11912_c,0.5882352941176471
cpd02642_c,0.5686274509803921
cpd00338_c,0.5686274509803921
cpd02182_c,0.5490196078431373
cpd00104_e,0.5490196078431373
cpd00504_c,0.5294117647058824
cpd00654_c,0.49019607843137253
cpd02484_c,0.49019607843137253
cpd02230_c,0.49019607843137253
cpd02345_c,0.49019607843137253
cpd00873_c,0.47058823529411764
cpd02065_c,0.45098039215686275
cpd00064_c,0.45098039215686275
cpd00085_c,0.43137254901960786
cpd11466_c,0.43137254901960786
cpd04097_c,0.4117647058823529
cpd00531_c,0.4117647058823529
cpd00367_c,0.4117647058823529
cpd01982_c,0.4117647058823529
cpd01012_c,0.4117647058823529
cpd00289_c,0.39215686274509803
cpd00134_c,0.37254901960784315
cpd11439_c,0.37254901960784315
cpd11437_c,0.37254901960784315
cpd11435_c,0.37254901960784315
cpd11432_c,0.37254901960784315
cpd11434_c,0.37254901960784315
cpd00030_e,0.37254901960784315
cpd11441_c,0.37254901960784315
cpd00327_c,0.37254901960784315
cpd00638_c,0.37254901960784315
cpd00722_c,0.37254901960784315
