cpd03048_c,group02392,0.0
cpd00268_c,group00432,0.0
cpd00268_c,group00882,0.0
cpd00268_c,group08193,0.0
cpd00268_c,group00033,0.0
cpd11498_c,group00606,0.0
cpd11556_c,group00606,0.0
cpd02230_c,group00247,0.0
cpd11579_c,group03424,0.0
cpd11579_c,group02392,0.0
cpd11572_c,group00606,0.0
cpd00722_c,group00432,0.0
cpd00722_c,group08193,0.0
cpd02724_c,group02709,0.0
cpd00283_c,group00187,0.0
cpd11560_c,group00606,0.0
cpd03052_c,group02975,0.0
cpd03052_c,group00823,0.0
cpd03052_c,group00005,0.0
cpd03052_c,group08228,0.0
cpd03052_c,group08308,0.0
cpd03052_c,group05129,0.0
cpd03052_c,group03427,0.0
cpd02828_c,group00005,0.0
cpd02828_c,group00975,0.0
cpd11523_c,group00606,0.0
cpd00681_c,group01805,0.0
cpd09878_c,group03424,0.0
cpd09878_c,group02392,0.0
cpd11564_c,group00606,0.0
cpd15268_c,group02461,0.0
cpd15268_c,group01247,0.0
cpd15268_c,group01363,0.0
cpd11438_c,group03343,0.0
cpd11438_c,group04930,0.0
cpd11438_c,group01689,0.0
cpd11438_c,group00025,0.0
cpd11438_c,group04050,0.0
cpd11438_c,group03142,0.0
cpd11438_c,group01502,0.0
cpd11438_c,group03914,0.0
cpd11438_c,group02156,0.0
cpd11438_c,group12279,0.0
cpd11438_c,group01624,0.0
cpd11438_c,group01195,0.0
cpd11438_c,group06252,0.0
cpd11438_c,group01036,0.0
cpd01080_c,group03343,0.0
cpd01080_c,group04930,0.0
cpd01080_c,group01689,0.0
cpd01080_c,group00025,0.0
cpd01080_c,group04050,0.0
cpd01080_c,group03142,0.0
cpd01080_c,group01502,0.0
cpd01080_c,group03914,0.0
cpd01080_c,group02156,0.0
cpd01080_c,group12279,0.0
cpd01080_c,group01624,0.0
cpd01080_c,group01195,0.0
cpd01080_c,group06252,0.0
cpd01080_c,group01036,0.0
cpd00764_c,group12280,0.0
cpd11543_c,group00606,0.0
cpd01747_c,group03838,0.0
cpd01747_c,group02492,0.0
cpd03706_c,group00338,0.0
cpd02279_c,group03290,0.0
cpd03487_c,group00693,0.0
cpd02255_c,group01608,0.0
cpd11535_c,group00606,0.0
cpd15277_c,group02461,0.0
cpd15277_c,group01247,0.0
cpd15277_c,group01363,0.0
cpd11436_c,group03343,0.0
cpd11436_c,group04930,0.0
cpd11436_c,group01689,0.0
cpd11436_c,group00025,0.0
cpd11436_c,group04050,0.0
cpd11436_c,group03142,0.0
cpd11436_c,group01502,0.0
cpd11436_c,group03914,0.0
cpd11436_c,group02156,0.0
cpd11436_c,group12279,0.0
cpd11436_c,group01624,0.0
cpd11436_c,group01195,0.0
cpd11436_c,group06252,0.0
cpd11436_c,group01036,0.0
cpd11552_c,group00606,0.0
cpd00251_c,group01129,0.0
cpd00478_c,group00504,0.0
cpd00532_c,group02121,0.0
cpd11518_c,group00606,0.0
cpd11548_c,group00606,0.0
cpd00493_c,group00504,0.0
cpd11531_c,group00606,0.0
cpd11469_c,group00606,0.0
