cpd00434_c,group02956,0.0
cpd00434_c,group00005,0.182606081387
cpd00434_c,group00275,0.182606081387
cpd11465_c,group00606,0.0
cpd15239_c,group01247,0.0
cpd15239_c,group01499,0.0
cpd15239_c,group00574,0.0625477294843
cpd15239_c,group01741,0.0
cpd15239_c,group08140,0.0
cpd15239_c,group01363,0.048477688087
cpd15239_c,group00912,0.0332710027713
cpd00516_c,group00188,0.0
cpd00516_c,group00091,0.0
cpd00516_c,group00062,0.016170252029
cpd02484_c,group00247,0.0
cpd11510_c,group00606,0.0
cpd01587_c,group02189,0.0
cpd03451_c,group00959,0.0
cpd11518_c,group00606,0.0
cpd11588_c,group00108,0.0
cpd11588_c,group00181,0.0431795800994
cpd11588_c,group00018,0.0964949368028
cpd11588_c,group00328,0.0969553761741
cpd00673_c,group01865,0.0
cpd11527_c,group00606,0.0
cpd03048_c,group03354,0.0
cpd03048_c,group02392,0.0
cpd00268_c,group02222,0.0461198238805
cpd00268_c,group00432,0.0
cpd00268_c,group00816,0.0
cpd00268_c,group00033,0.123008989119
cpd11498_c,group00606,0.0
cpd11556_c,group00606,0.0
cpd09252_c,group02950,0.0
cpd09791_c,group03175,0.0802219609968
cpd02230_c,group00247,0.0
cpd11579_c,group03354,0.0
cpd11579_c,group02392,0.0
cpd11572_c,group00606,0.0
cpd11548_c,group00606,0.0
cpd02724_c,group00575,0.102510657187
cpd00152_c,group01823,0.0
cpd11560_c,group00606,0.0
cpd03052_c,group03371,0.0
cpd03052_c,group02956,0.0
cpd03052_c,group00005,0.182606081387
cpd00982_c,group02038,0.305091241629
cpd00982_c,group00112,0.582625854982
cpd00493_c,group00504,0.0
cpd02045_c,group03175,0.0802219609968
cpd09812_c,group03175,0.0802219609968
cpd09878_c,group03354,0.0
cpd09878_c,group02392,0.0
cpd11564_c,group00606,0.0
cpd08304_c,group02950,0.0
cpd01150_c,group01604,0.0
cpd09806_c,group03175,0.0802219609968
cpd00683_c,group00070,0.0
cpd03200_c,group01201,0.0
cpd03200_c,group02996,0.0174434065302
cpd11438_c,group00233,0.0
cpd11438_c,group00025,0.0
cpd11438_c,group02773,0.0
cpd11438_c,group04122,0.0405223751702
cpd11438_c,group01502,0.0609006794465
cpd11438_c,group02156,0.0143844596326
cpd11438_c,group03989,0.0
cpd11438_c,group01624,0.186432343115
cpd11438_c,group11158,0.0572598779579
cpd11438_c,group08122,0.0533909672851
cpd11438_c,group01195,0.0
cpd11438_c,group08143,0.0
cpd11438_c,group01036,0.0
cpd11438_c,group01689,0.30503515868
cpd01080_c,group00233,0.0
cpd01080_c,group00025,0.0
cpd01080_c,group02773,0.0
cpd01080_c,group04122,0.0405223751702
cpd01080_c,group01502,0.0609006794465
cpd01080_c,group02156,0.0143844596326
cpd01080_c,group03989,0.0
cpd01080_c,group01624,0.186432343115
cpd01080_c,group11158,0.0572598779579
cpd01080_c,group08122,0.0533909672851
cpd01080_c,group01195,0.0
cpd01080_c,group08143,0.0
cpd01080_c,group01036,0.0
cpd01080_c,group01689,0.30503515868
cpd11543_c,group00606,0.0
cpd01747_c,group01604,0.0
cpd00492_c,group04790,0.0566441803454
cpd02978_c,group02873,0.0
cpd02978_c,group02530,0.0
cpd00044_c,group01716,0.0
cpd02255_c,group02047,0.0
cpd02255_c,group01467,0.0837653338324
cpd02255_c,group01608,0.0
cpd11535_c,group00606,0.0
