id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn02949_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.605) or (AAA028K15_AnnotatedGenome.CDS.527)	(S)-3-Hydroxyisobutyryl-CoA hydro-lyase_c0	Unknown	Unknown	None	(1) cpd02187[c0] + (1) cpd00001[c0] <=> (1) cpd03572[c0]
rxn10225_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.641	isohexadecanoyl-phosphatidate cytidylyltransferase_c0	Unknown	Unknown	None	(1) cpd15682[c0] + (1) cpd00052[c0] <=> (1) cpd15688[c0] + (1) cpd00012[c0]
rxn00929_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.466	L-Proline:NAD+ 5-oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00129[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd02431[c0]
rxn08311_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.641	CDP-diacylglycerol synthetase (n-C18:0)_c0	Unknown	Unknown	None	(1) cpd15526[c0] + (1) cpd00052[c0] <=> (1) cpd15421[c0] + (1) cpd00012[c0]
rxn05341_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.576) or (AAA028K15_AnnotatedGenome.CDS.540)	(3R)-3-Hydroxyoctanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd11483[c0] + (1) cpd00006[c0] <=> (1) cpd00067[c0] + (1) cpd11490[c0] + (1) cpd00005[c0]
rxn05460_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.575) and (AAA028K15_AnnotatedGenome.CDS.578)	3-Oxooctodecanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11476[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11570[c0]
rxn03241_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.605) or (AAA028K15_AnnotatedGenome.CDS.527)	(S)-3-Hydroxytetradecanoyl-CoA hydro-lyase_c0	Unknown	Unknown	None	(1) cpd03115[c0] <=> (1) cpd00001[c0] + (1) cpd03127[c0]
rxn00649_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.779	O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide)_c0	Unknown	Unknown	None	(1) cpd00239[c0] + (1) cpd00722[c0] => (1) cpd00067[c0] + (1) cpd00084[c0] + (1) cpd00029[c0]
rxn10806_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.481) or (AAA028K15_AnnotatedGenome.CDS.480)	cytochrome oxidase bd (menaquinol-8: 2 protons)_c0	Unknown	Unknown	None	(2) cpd00067[c0] + (0.5) cpd00007[c0] + (1) cpd15499[c0] => (2) cpd00067[e0] + (1) cpd00001[c0] + (1) cpd15500[c0]
rxn05346_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.575) and (AAA028K15_AnnotatedGenome.CDS.578)	butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]_c0	Unknown	Unknown	None	(1) cpd11464[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11486[c0]
rxn10122_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.495) and (AAA028K15_AnnotatedGenome.CDS.496) and (AAA028K15_AnnotatedGenome.CDS.494) and (AAA028K15_AnnotatedGenome.CDS.498) and (AAA028K15_AnnotatedGenome.CDS.489) and ((AAA028K15_AnnotatedGenome.CDS.506) or (AAA028K15_AnnotatedGenome.CDS.492)) and ((AAA028K15_AnnotatedGenome.CDS.503) or (AAA028K15_AnnotatedGenome.CDS.486)) and (AAA028K15_AnnotatedGenome.CDS.493) and (AAA028K15_AnnotatedGenome.CDS.497) and (AAA028K15_AnnotatedGenome.CDS.490) and (AAA028K15_AnnotatedGenome.CDS.491) and ((AAA028K15_AnnotatedGenome.CDS.487) or (AAA028K15_AnnotatedGenome.CDS.504)) and ((AAA028K15_AnnotatedGenome.CDS.485) or (AAA028K15_AnnotatedGenome.CDS.502)) and ((AAA028K15_AnnotatedGenome.CDS.488) or (AAA028K15_AnnotatedGenome.CDS.505))	NADH dehydrogenase (ubiquinone-8 & 3.5 protons)_c0	Unknown	Unknown	None	(4.5) cpd00067[c0] + (1) cpd15560[c0] + (1) cpd00004[c0] <=> (3.5) cpd00067[e0] + (1) cpd15561[c0] + (1) cpd00003[c0]
rxn00187_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.456) or (AAA028K15_AnnotatedGenome.CDS.457)	L-Glutamate:ammonia ligase (ADP-forming)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00013[c0] + (1) cpd00023[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00053[c0] + (1) cpd00008[c0]
rxn00737_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.500	L-threonine ammonia-lyase_c0	Unknown	Unknown	None	(1) cpd00161[c0] => (1) cpd00013[c0] + (1) cpd00094[c0]
rxn00193_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.781	L-Glutamate racemase_c0	Unknown	Unknown	None	(1) cpd00023[c0] <=> (1) cpd00186[c0]
rxn01073_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.596	sn-Glycero-3-phosphoethanolamine glycerophosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00908[c0] => (1) cpd00162[c0] + (1) cpd00080[c0]
rxn05175_c0	=>	c0	() and (AAA028K15_AnnotatedGenome.CDS.721) and (AAA028K15_AnnotatedGenome.CDS.719) and () and () and () and (AAA028K15_AnnotatedGenome.CDS.718)	Spermidine-ABC transport_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00001[c0] + (1) cpd00264[e0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00264[c0] + (1) cpd00008[c0]
rxn12844_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.840	Gly-Cys aminopeptidase_c0	Unknown	Unknown	None	(1) cpd15603[c0] + (1) cpd00001[c0] <=> (1) cpd00084[c0] + (1) cpd00033[c0]
rxn01678_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.656	ATP:nucleoside-diphosphate phosphatransferase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00978[c0] <=> (1) cpd00358[c0] + (1) cpd00008[c0]
rxn10060_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.622	NAD kinase (dTTP)_c0	Unknown	Unknown	None	(1) cpd00357[c0] + (1) cpd00003[c0] <=> (1) cpd00006[c0] + (1) cpd00297[c0]
rxn00100_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.568	ATP:dephospho-CoA 3'-phosphotransferase_c0	Unknown	Unknown	None	(1) cpd00655[c0] + (1) cpd00002[c0] => (1) cpd00010[c0] + (1) cpd00008[c0]
rxn02834_c0	=>	c0	() and (AAA028K15_AnnotatedGenome.CDS.701)	Phosphoribosyl-ATP pyrophosphohydrolase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd01775[c0] => (1) cpd01777[c0] + (1) cpd00012[c0]
rxn03175_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.704	N-(5'-Phospho-D-ribosylformimino)-5-amino-1-_c0	Unknown	Unknown	None	(1) cpd02979[c0] <=> (1) cpd02991[c0]
rxn10219_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.800	isohexadecanoyl-1-acylglycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd15676[c0] + (1) cpd11441[c0] => (1) cpd15682[c0] + (1) cpd00010[c0]
rxn00786_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.626	D-Fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0	Unknown	Unknown	None	(1) cpd00290[c0] <=> (1) cpd00102[c0] + (1) cpd00095[c0]
rxn01637_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.636	N2-Acetyl-L-ornithine:2-oxoglutarate aminotransferase_c0	Unknown	Unknown	None	(1) cpd00024[c0] + (1) cpd00342[c0] <=> (1) cpd00918[c0] + (1) cpd00023[c0]
rxn00689_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.655) and (AAA028K15_AnnotatedGenome.CDS.655)	Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00087[c0] + (1) cpd00023[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd06227[c0] + (1) cpd00008[c0]
rxn12640_c0	<=>	c0	AAA028K15_AnnotatedGenome.CDS.840	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd11586[c0] <=> (1) cpd00023[c0] + (1) cpd00035[c0]
rxn10206_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.833) and ()	anteisoheptadecanoyl-glycerol-3-phosphate O-acyltransferase_c0	Unknown	Unknown	None	(1) cpd11434[c0] + (1) cpd00080[c0] => (1) cpd15672[c0] + (1) cpd00010[c0]
rxn05376_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.576) or (AAA028K15_AnnotatedGenome.CDS.540)	12-methyl-3-oxo-tetra-decanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11512[c0] + (1) cpd00005[c0] <=> (1) cpd11513[c0] + (1) cpd00006[c0]
rxn05342_c0	<=>	c0	(AAA028K15_AnnotatedGenome.CDS.576) or (AAA028K15_AnnotatedGenome.CDS.540)	(3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+_c0	Unknown	Unknown	None	(1) cpd11484[c0] + (1) cpd00006[c0] <=> (1) cpd00067[c0] + (1) cpd11491[c0] + (1) cpd00005[c0]
rxn05350_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.575) and (AAA028K15_AnnotatedGenome.CDS.578)	hexanoyl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11472[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11490[c0]
rxn00717_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.598	Cytosine aminohydrolase_c0	Unknown	Unknown	None	(1) cpd00307[c0] + (1) cpd00067[c0] + (1) cpd00001[c0] => (1) cpd00092[c0] + (1) cpd00013[c0]
rxn05249_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.653) or (AAA028K15_AnnotatedGenome.CDS.468) or (AAA028K15_AnnotatedGenome.CDS.595) or (AAA028K15_AnnotatedGenome.CDS.431)	FACOAL150(ISO)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00002[c0] + (1) cpd00010[c0] + (1) cpd11436[c0] => (1) cpd00018[c0] + (1) cpd00012[c0] + (1) cpd11437[c0]
rxn03409_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.456	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00013[c0] + (1) cpd03495[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd03496[c0] + (1) cpd00008[c0]
rxn05396_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.575) and (AAA028K15_AnnotatedGenome.CDS.578)	9-methyl-decanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd11532[c0] + (1) cpd00067[c0] + (1) cpd11492[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11533[c0]
rxn13782_c0	=>	c0	() and () and () and () and () and () and () and () and () and () and () and () and () and (AAA028K15_AnnotatedGenome.CDS.616) and ((AAA028K15_AnnotatedGenome.CDS.768) or (AAA028K15_AnnotatedGenome.CDS.640)) and () and () and () and () and () and () and () and (AAA028K15_AnnotatedGenome.CDS.767) and (AAA028K15_AnnotatedGenome.CDS.847) and (AAA028K15_AnnotatedGenome.CDS.630) and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and () and (AAA028K15_AnnotatedGenome.CDS.664)	Protein biosynthesis_c0	Unknown	Unknown	None	 => (1) cpd17041[c0]
rxn03407_c0	=>	c0	AAA028K15_AnnotatedGenome.CDS.456	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd00013[c0] + (1) cpd03491[c0] => (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd03492[c0] + (1) cpd00008[c0]
rxn05363_c0	=>	c0	(AAA028K15_AnnotatedGenome.CDS.575) and (AAA028K15_AnnotatedGenome.CDS.578)	4-methyl-hexanoyl-ACP:malonyl-[acyl-carrier-protein] C-acyltransferase (decarboxylating)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11492[c0] + (1) cpd11499[c0] => (1) cpd11493[c0] + (1) cpd00011[c0] + (1) cpd11500[c0]
