,CommonName,Metabolite,acI-A1,acI-A5,acI-A6,acI-A7,acI-B1,acI-B4,acSTL-A1,acTH1-A1,Iluma-A2,Iluma-B1,Luna1-A2,Luna1-A4
186,cis-4-Hydroxy-D-proline,cpd02175_c,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,Neu5Ac,cpd00232_c,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
188,Aminoacetone,cpd01298_c,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
189,2-Octaprenyl-6-methoxy-1_4-benzoquinone,cpd03447_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,Sarcosine,cpd00183_c,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
191,phosphoribosylformiminoaicar-phosphate,cpd02979_c,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
192,phosphoribulosylformimino-AICAR-phosphate,cpd02991_c,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
193,L-histidinol-phosphate,cpd00807_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,Acrylate,cpd00400_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,4-Guanidinobutanamide,cpd01973_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,Acetamide,cpd03734_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,Demethylphylloquinone,cpd09410_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,Indole-3-acetamide,cpd01747_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
199,Benzamide,cpd06707_c,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,Inositol_1-phosphate,cpd00867_c,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
201,8-Amino-7-oxononanoate,cpd00800_c,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
202,S-Adenosyl-4-methylthio-2-oxobutanoate,cpd02701_c,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
203,S-Adenosyl-L-methionine,cpd00017_c,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
204,7-8-Diaminononanoate,cpd00764_c,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0
205,2-Demethylmenaquinone_8,cpd15352_c,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
206,D-Glucarate,cpd00609_c,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
207,Carbamoylphosphate,cpd00146_c,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
208,2_5-Dioxopentanoate,cpd00340_c,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
209,Isopentenyldiphosphate,cpd00113_c,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
210,11-methyl-dodecanoyl-ACP,cpd11536_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
211,9-methyl-decanoyl-ACP,cpd11532_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
212,L-Serine,cpd00054_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
213,4-Phosphonooxy-threonine,cpd03607_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
214,6-methyl-heptanoyl-ACP,cpd11553_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
215,ADPribose,cpd00251_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
216,8-methyl-nonanoyl-ACP,cpd11557_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
217,10-methyl-dodecanoyl-ACP,cpd11511_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
218,4-methyl-pentanoyl-ACP,cpd11549_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
219,4-methyl-hexanoyl-ACP,cpd11499_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
220,DAHP,cpd02857_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
221,Farnesyldiphosphate,cpd00350_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
222,Ala-Ala,cpd00731_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
223,5-methyl-hexanoyl-ACP,cpd11524_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
224,7_8-Dihydroneopterin_3'-triphosphate,cpd02978_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
225,1-deoxy-D-xylulose5-phosphate,cpd08289_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
226,8-methyl-decanoyl-ACP,cpd11507_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
227,5-Carboxymethyl-2-hydroxymuconic_semialdehyde,cpd02828_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
228,7-methyl-octanoyl-ACP,cpd11528_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
229,3-oxoadipate-enol-lactone,cpd02255_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
230,6-methyl-octanoyl-ACP,cpd11503_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
231,Pantoate,cpd00408_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
232,3-Ureidopropanoate,cpd01720_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
233,2-Phosphoglycolate,cpd00727_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
234,2-Octaprenylphenol,cpd03444_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
235,4-Nitrophenyl_phosphate,cpd02135_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
236,3-Ureidoisobutyrate,cpd03034_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
237,10-methyl-undecanoyl-ACP,cpd11561_c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
238,Tyramine,cpd00374_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
239,N-Carbamoylputrescine,cpd00341_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
240,Ala-Leu,cpd11583_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
241,L-Malate,cpd00130_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
242,D-Alanine,cpd00117_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
243,D-Glucosamine1-phosphate,cpd03671_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
244,gly-pro-L,cpd11588_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
245,GMP,cpd00126_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
246,L-Tryptophan,cpd00065_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
247,Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine,cpd03491_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
248,2-Amino-4-hydroxy-6-hydroxymethyl-7-8-dihydropteridinediphosphate,cpd02920_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
249,Reduced_coenzyme_F420,cpd00792_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
250,5-Methyl-H4MPT,cpd02737_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
251,5_10-Methylenetetrahydromethanopterin,cpd02679_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
252,Coenzyme_F420,cpd00649_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0
253,D-Ribulose5-phosphate,cpd00171_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
254,D-Xylulose5-phosphate,cpd00198_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
255,GTP,cpd00038_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
256,Peptidoglycan_polymer_n-1_subunits,cpd15666_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
257,Bactoprenyl_diphosphate,cpd02229_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0
258,Undecaprenyl-diphospho-N-acetylmuramoyl-N-acetylglucosamine-L-ala-D-glu-meso-2-6-diaminopimeloyl-D-ala-D-ala,cpd03495_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.0,0.0
259,Peptidoglycan_polymer_n_subunits,cpd15665_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
260,5'-Phosphoribosyl-4-carboxy-5-aminoimidazole,cpd02893_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
261,L-Arginine,cpd00051_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
262,Fumarate,cpd00106_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
263,L-Argininosuccinate,cpd02152_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
264,dTDP-4-oxo-L-rhamnose,cpd00522_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
265,dTDP-4-oxo-6-deoxy-D-glucose,cpd00521_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
266,AICAR,cpd02851_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
267,6-7-Dimethyl-8-1-D-ribityllumazine,cpd02656_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
268,Acetoacetate,cpd00142_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
269,5-O-1-Carboxyvinyl-3-phosphoshikimate,cpd00932_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
270,ribose-5-phosphate,cpd00101_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
271,butanesulfonate,cpd11596_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
272,D-methylmalonyl-CoA,cpd00519_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
273,Succinyl-CoA,cpd00078_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
274,L-methylmalonyl-CoA,cpd00891_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0
275,Isethionate,cpd03048_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
276,Cl,cpd00099_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
277,Cl,cpd00099_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
278,4-Hydroxymethylsalicylate,cpd09812_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
279,methanesulfonate,cpd08023_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
280,Hydrouracil,cpd00337_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
281,Glycerol-3-phosphate,cpd00080_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
282,SALC,cpd00599_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
283,hexanesulfonate,cpd11578_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
284,Taurine,cpd00210_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
285,dUMP,cpd00299_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
286,Dihydrothymine,cpd00673_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
287,m-Cresotic_acid,cpd09806_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
288,FMNH2,cpd01270_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
289,1-Hydroxy-2-naphthoate,cpd02045_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
290,Uracil,cpd00092_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
291,3-Methylsalicylate,cpd09791_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
292,ethanesulfonate,cpd11579_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
293,Sulfoacetate,cpd09878_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
294,GSH,cpd00042_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
295,Dihydropteroate,cpd00683_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
296,2-Acyl-sn-glycero-3-phosphoethanolamine_tetradec-7-enoyl,cpd15338_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
297,Acetaldehyde,cpd00071_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.333333
298,2-Isopropylmalate,cpd01646_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
299,UppppU,cpd03706_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
300,UDP-MurNAc,cpd00773_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
301,2-tetradec-7-enoyl-sn-glycerol_3-phosphate,cpd15362_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
302,Thiamin,cpd00305_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
303,2-Acyl-sn-glycero-3-phosphoglycerol_tetradec-7-enoyl,cpd15345_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
304,4-phosphopantothenate,cpd02201_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
305,isobutyryl-ACP,cpd11545_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
306,12-methyl-tridecanoyl-ACP,cpd11565_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
307,trdrd,cpd11421_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
308,deoxyribose-5-phosphate,cpd00510_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
309,Glyceraldehyde3-phosphate,cpd00102_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333
310,Undecaprenylphosphate,cpd00286_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667
311,Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine,cpd03494_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667
312,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-_D-alanine,cpd02968_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667
313,UMP,cpd00091_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667
314,UDPMurAcoyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala,cpd02862_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667
315,MurAcoyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala-diphospho-_undecaprenol,cpd02948_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667
316,D_Methionine,cpd00637_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
317,L_Methionine_S_oxide,cpd01914_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
318,UDP-N-acetylglucosamine,cpd00037_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
319,UDP-N-acetyl-D-galactosamine,cpd00175_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
320,L_Methionine,cpd00060_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
321,13-methyl-tetra-decanoyl-ACP,cpd11540_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
322,H2O2,cpd00025_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
323,L_methionine_R_oxide,cpd11576_e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
324,12-methyl-tetra-decanoyl-ACP,cpd11515_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
325,2-methylbutyryl-ACP,cpd11495_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
326,isovaleryl-ACP,cpd11520_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
327,Malonyl-acyl-carrierprotein,cpd11492_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
