,acI,acIII,acIV,acMicro,acTH2,acV,Luna1
acI,0.0,0.160714285714,0.241071428571,0.142857142857,0.205357142857,0.178571428571,0.142857142857
acIII,0.11320754717,0.0,0.188679245283,0.0660377358491,0.150943396226,0.179245283019,0.0849056603774
acIV,0.0566037735849,0.0283018867925,0.0,0.00943396226415,0.0,0.0188679245283,0.0188679245283
acMicro,0.151162790698,0.116279069767,0.232558139535,0.0,0.139534883721,0.220930232558,0.0813953488372
acTH2,0.268817204301,0.268817204301,0.279569892473,0.204301075269,0.0,0.268817204301,0.258064516129
acV,0.063829787234,0.127659574468,0.117021276596,0.0957446808511,0.0851063829787,0.0,0.117021276596
Luna1,0.0617283950617,0.0617283950617,0.16049382716,0.0,0.111111111111,0.172839506173,0.0
