,acI,acIII,acIV,acMicro,acTH2,acV,Luna1
acI,1.0,0.471559637354,0.412844040485,0.398165141268,0.293577984345,0.66422018958,0.54495413344
acIII,0.590909104339,1.0,0.522727273244,0.522727284607,0.386363633781,0.770833335701,0.577651524492
acIV,0.548780487805,0.557926829268,1.0,0.560975609756,0.496951219512,0.762195121951,0.579268292683
acMicro,0.550000006875,0.575000007188,0.575000007188,1.0,0.712500008906,0.837499997969,0.762499997031
acTH2,0.421052637119,0.447368413781,0.539473678151,0.750000009868,1.0,0.84210526108,0.723684220048
acV,0.522778254734,0.445236096537,0.500705938003,0.567051354702,0.514337876442,1.0,0.596510495492
Luna1,0.633215209232,0.60780767931,0.594967319353,0.683848142416,0.506845357376,0.814270097281,1.0
