,acI-A,acI-B,acI-C,acIV-A,acIV-B,acTH2-A,Luna1-A
acI-A,0.0,0.0141843971631,0.0,0.0992907801418,0.13475177305,0.198581560284,0.141843971631
acI-B,0.025641025641,0.0,0.00641025641026,0.0897435897436,0.115384615385,0.166666666667,0.128205128205
acI-C,0.108910891089,0.108910891089,0.0,0.148514851485,0.247524752475,0.306930693069,0.267326732673
acIV-A,0.214285714286,0.214285714286,0.157142857143,0.0,0.257142857143,0.285714285714,0.3
acIV-B,0.0942028985507,0.101449275362,0.0434782608696,0.00724637681159,0.0,0.108695652174,0.13768115942
acTH2-A,0.198412698413,0.174603174603,0.15873015873,0.0396825396825,0.142857142857,0.0,0.190476190476
Luna1-A,0.0608695652174,0.0347826086957,0.0260869565217,0.0695652173913,0.104347826087,0.095652173913,0.0
