id	direction	compartment	gpr	name	enzyme	pathway	reference	equation
rxn10125_c0	<=>	c0	((TBepi4163.genome.CDS.2596) or (TBepi4163.genome.CDS.2112)) and ((TBepi4163.genome.CDS.2594) or (TBepi4163.genome.CDS.2595))	NAD(P) transhydrogenase_c0	Unknown	Unknown	None	(2) cpd00067[e0] + (1) cpd00006[c0] + (1) cpd00004[c0] <=> (2) cpd00067[c0] + (1) cpd00003[c0] + (1) cpd00005[c0]
rxn00497_c0	=>	c0	TBepi4163.genome.CDS.1872	L-Phenylalanine carboxy-lyase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00066[c0] => (1) cpd03161[c0] + (1) cpd00011[c0]
rxn01923_c0	=>	c0	(TBepi4163.genome.CDS.1543) or (TBepi4163.genome.CDS.2050) or (TBepi4163.genome.CDS.1698) or (TBepi4163.genome.CDS.2439) or (TBepi4163.genome.CDS.2049) or (TBepi4163.genome.CDS.1381) or (TBepi4163.genome.CDS.2104) or (TBepi4163.genome.CDS.2217) or (TBepi4163.genome.CDS.1914) or (TBepi4163.genome.CDS.2138) or (TBepi4163.genome.CDS.2297)	2-Methylpropanoyl-CoA:oxygen 2,3-oxidoreductase_c0	Unknown	Unknown	None	(2) cpd00481[c0] + (1) cpd00007[c0] => (2) cpd02187[c0] + (2) cpd00001[c0]
rxn00248_c0	<=>	c0	TBepi4163.genome.CDS.1981	(S)-malate:NAD+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00130[c0] + (1) cpd00003[c0] <=> (1) cpd00067[c0] + (1) cpd00032[c0] + (1) cpd00004[c0]
rxn05734_c0	<=>	c0	(TBepi4163.genome.CDS.1961) or (TBepi4163.genome.CDS.2578) or (TBepi4163.genome.CDS.2119) or (TBepi4163.genome.CDS.2219)	aldehyde dehydrogenase (glyoxylate, NAD)_c0	Unknown	Unknown	None	(1) cpd00001[c0] + (1) cpd00040[c0] + (1) cpd00003[c0] <=> (2) cpd00067[c0] + (1) cpd00180[c0] + (1) cpd00004[c0]
rxn01302_c0	<=>	c0	TBepi4163.genome.CDS.2414	L-Homoserine:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00006[c0] + (1) cpd00227[c0] <=> (1) cpd00067[c0] + (1) cpd00346[c0] + (1) cpd00005[c0]
rxn05422_c0	<=>	c0	(TBepi4163.genome.CDS.1795) or (TBepi4163.genome.CDS.2018) or (TBepi4163.genome.CDS.1791) or (TBepi4163.genome.CDS.2214) or (TBepi4163.genome.CDS.2437) or (TBepi4163.genome.CDS.1654) or (TBepi4163.genome.CDS.1596) or (TBepi4163.genome.CDS.1689) or (TBepi4163.genome.CDS.1579) or (TBepi4163.genome.CDS.2252) or (TBepi4163.genome.CDS.1792) or (TBepi4163.genome.CDS.2195) or (TBepi4163.genome.CDS.2565) or (TBepi4163.genome.CDS.2511) or (TBepi4163.genome.CDS.1368) or (TBepi4163.genome.CDS.553) or (TBepi4163.genome.CDS.2563)	10-methyl-3-oxo-undecanoyl-ACP:NADP+ oxidoreductase_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd11558[c0] + (1) cpd00005[c0] <=> (1) cpd00006[c0] + (1) cpd11559[c0]
rxn05448_c0	=>	c0	TBepi4163.genome.CDS.2377	10-methyl-trans-undec-2-enoyl-ACP:NAD+ oxidoreductase (A-specific)_c0	Unknown	Unknown	None	(1) cpd00067[c0] + (1) cpd00004[c0] + (1) cpd11560[c0] => (1) cpd00003[c0] + (1) cpd11561[c0]
rxn05229_c0	=>	c0	() and (TBepi4163.genome.CDS.2480)	NCAIR synthetase and NCAIR mutase_c0	Unknown	Unknown	None	(1) cpd00002[c0] + (1) cpd02140[c0] + (1) cpd00242[c0] => (1) cpd02893[c0] + (1) cpd00067[c0] + (1) cpd00009[c0] + (1) cpd00008[c0]
rxn12637_c0	<=>	c0	(TBepi4163.genome.CDS.1292) or (TBepi4163.genome.CDS.2055) or (TBepi4163.genome.CDS.2623) or (TBepi4163.genome.CDS.2361)	aminopeptidase_c0	Unknown	Unknown	None	(1) cpd11589[c0] + (1) cpd00001[c0] <=> (1) cpd00041[c0] + (1) cpd00033[c0]
