	Genes	Metabolites	Reactions	Balanced
FNEF8-bin_25_2	592	1201	1072	1
FNEF8-bin_29_2	524	1155	1005	1
FNEF8-bin_6_1	522	1206	1061	1
FNEF8-bin_7	426	888	682	1
